experiment,policy,threshold,CRS_TP,CRS_TN,CRS_FP,CRS_FN,CRS_Accuracy,CRS_TPR,CRS_TNR,CRS_Precision,CRS_FPR,CRS_FNR,FINAL_TP,FINAL_TN,FINAL_FP,FINAL_FN,FINAL_Accuracy,FINAL_TPR,FINAL_TNR,FINAL_Precision,FINAL_FPR,FINAL_FNR
Exp3_FT_Claude80,Threshold_1_block,1,7888,5349,964,125,0.923984364093257,0.9844003494321727,0.8472992238238556,0.8910980569362856,0.15270077617614447,0.015599650567827281,8013,5349,964,0,0.9327097584810834,1.0,0.8472992238238556,0.8926144591734433,0.15270077617614447,0.0
Exp3_FT_Claude80,Threshold_2_block,2,7857,5649,664,156,0.9427614128158592,0.9805316360913515,0.894820212260415,0.9220748738410984,0.10517978773958499,0.019468363908648447,8013,5649,664,0,0.9536507050118666,1.0,0.894820212260415,0.9234758557104991,0.10517978773958499,0.0
Exp3_FT_Claude80,Threshold_3_block,3,6523,5933,380,1490,0.8694680999581181,0.8140521652314988,0.939806747980358,0.9449514703751992,0.060193252019642006,0.18594783476850119,8013,5933,380,0,0.9734748010610079,1.0,0.939806747980358,0.9547241749076611,0.060193252019642006,0.0
Exp3_FT_Claude80,Threshold_4_block,4,1955,6297,16,6058,0.576015635906743,0.24397853488081866,0.9974655472833835,0.9918822932521563,0.0025344527166165057,0.7560214651191813,8012,6297,16,1,0.9988133463632556,0.9998752027954574,0.9974655472833835,0.9980069755854509,0.0025344527166165057,0.00012479720454261825
Exp3_FT_Claude80,Threshold_5_block,5,1459,6308,5,6554,0.5421611056819768,0.18207912142768,0.9992079835260573,0.9965846994535519,0.000792016473942658,0.81792087857232,8012,6308,5,1,0.9995811810693843,0.9998752027954574,0.9992079835260573,0.999376325308719,0.000792016473942658,0.00012479720454261825
Exp3_FT_Claude80,Threshold_6_block,6,226,6313,0,7787,0.45644283121597096,0.028204168226631722,1.0,1.0,0.0,0.9717958317733683,8012,6313,0,1,0.9999301968448974,0.9998752027954574,1.0,1.0,0.0,0.00012479720454261825
Exp3_FT_Claude80,Threshold_7_block,7,61,6313,0,7952,0.4449253106240402,0.007612629477099713,1.0,1.0,0.0,0.9923873705229003,8012,6313,0,1,0.9999301968448974,0.9998752027954574,1.0,1.0,0.0,0.00012479720454261825
Exp3_FT_Claude80,Threshold_8_block,8,28,6313,0,7985,0.4426218065056541,0.0034943217271933107,1.0,1.0,0.0,0.9965056782728067,8012,6313,0,1,0.9999301968448974,0.9998752027954574,1.0,1.0,0.0,0.00012479720454261825
Exp3_FT_Claude80,Threshold_9_block,9,19,6313,0,7994,0.44199357810973056,0.0023711468863097467,1.0,1.0,0.0,0.9976288531136902,8012,6313,0,1,0.9999301968448974,0.9998752027954574,1.0,1.0,0.0,0.00012479720454261825
Exp3_FT_Claude80,Threshold_10_block,10,5,6313,0,8008,0.44101633393829404,0.0006239860227130913,1.0,1.0,0.0,0.9993760139772869,8012,6313,0,1,0.9999301968448974,0.9998752027954574,1.0,1.0,0.0,0.00012479720454261825
