index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
2,"<audio src onerror=Function(String.fromCharCode(101,118,97,108,40,83,116,114,105,110,103,46,102,114,111,109,67,104,97,114,67,111,100,101,40,57,55,44,49,48,56,44,49,48,49,44,49,49,52,44,49,49,54,44,52,48,44,52,57,44,52,49,41,41))()>",0,1,block,5,"934100,941100,941120,941160,949110","o28,19v217,231 || v217,231t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,231t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,231t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,17760682404.766059
3,"<audio src onerror=Function('ev'+'al(String.fromCharCode(97,108,101,114,116,40,49,41))')()>",0,1,block,6,"934100,934100,941100,941120,941160,949110","o37,19v217,91 || o37,19v217,91t:urlDecodeUni || v217,91t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,91t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,91t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,177606824262.675819
10,"<audio src onerror=Function('eva'+'l(Strin'+'g.fromCharCode(97,108,101,114,116,40,49,41))')()>",0,1,block,4,"941100,941120,941160,949110","v217,94t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,94t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,94t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177606825619.447316
11,"<audio src onerror=Function('&#101;val(String.fromCharCode(97,108,101,114,116,40,49,41))')()>",0,1,block,5,"934100,941100,941120,941160,949110","o39,19v217,93 || v217,93t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,93t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,93t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177606825862.976040
12,"<audio src onerror=window['Function']('eval(String.fromCharCode(97,108,101,114,116,40,49,41))')()>",0,1,block,8,"933160,933210,934100,941100,941120,941160,941370,949110","o39,58v217,98 || o25,72v217,98t:urlDecode,t:replaceComments,t:compressWhitespace || o39,5v217,98 || v217,98t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,98t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,98t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o19,18v217,98t:urlDecodeUni,t:compressWhitespace || ",35,177606826069.664849
15,"<audio src onerror=Function('e\u0076al(String.fromCharCode(97,108,101,114,116,40,49,41))')()>",0,1,block,5,"934100,941100,941120,941160,949110","o39,19v217,93 || v217,93t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,93t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,93t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177606826619.938667
16,"<audio src onerror=top['Function']('eval(String.fromCharCode(97,108,101,114,116,40,49,41))')()>",0,1,block,8,"933160,933210,934100,941100,941120,941160,941370,949110","o36,58v217,95 || o22,72v217,95t:urlDecode,t:replaceComments,t:compressWhitespace || o36,5v217,95 || v217,95t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,95t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,95t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o19,15v217,95t:urlDecodeUni,t:compressWhitespace || ",35,177606826873.762125
17,"<audio src onerror=Function('\145\166\141\154(String.fromCharCode(97,108,101,114,116,40,49,41))')()>",0,1,block,5,"934100,941100,941120,941160,949110","o46,19v217,100 || v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177606827027.602282
20,"<audio src onerror=Function(['eval','(String.fromCharCode(97,108,101,114,116,40,49,41))'].join(''))()>",0,1,block,5,"934100,941100,941120,941160,949110","o38,19v217,102 || v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177606827622.889200
21,"<audio><source onerror=""((function(){var a=atob('YWxlcnQoMSk=');eval(a);})())""></audio>",0,1,block,7,"932100,933160,934100,941100,941120,941160,949110","o63,5v217,87 || o64,13v217,87 || o26,11v217,87 || v217,87t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,87t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,87t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",30,17760682774.962079
