index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
10,"<details open ontoggle=""(function(){const g=self[atob('YWxlcnQ=')];g(btoa('WFNT').split('').map((c,i)=>String.fromCharCode(c.charCodeAt(0)^[88,83,83][i])).join(''))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,180 || v217,180t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,180t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,22v217,180t:urlDecodeUni,t:compressWhitespace || ",20,178032201794.058688
11,"<details open ontoggle=""(function(){const g=globalThis['al'+'ert'];g(btoa('WFNT').split('').map((c,i)=>String.fromCharCode(c.charCodeAt(0)^[88,83,83][i])).join(''))})()""></details>",0,1,block,5,"934100,934100,941100,941120,949110","o25,11v217,180 || o25,11v217,180t:urlDecodeUni || v217,180t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,180t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178032201815.639054
18,"<details open ontoggle=""(function(){const g=globalThis;g['al'+'ert'](g.String['fromChar'+'Code'](88,83,83))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o56,55v217,123t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,123 || o25,11v217,123t:urlDecodeUni || v217,123t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,123t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178032202812.313236
20,"<details open ontoggle=""(function(){const w=parent;w['al'+'ert'](w['String']['fromCharCode'](0x58,0x53,0x53))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o52,61v217,125t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,125 || o25,11v217,125t:urlDecodeUni || v217,125t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,125t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178032203118.835322
22,"<details open ontoggle=""(function(){const c=top[atob('YWxlcnQ=')];c(top[atob('U3RyaW5n')][atob('ZnJvbUNoYXJDb2Rl')](88,83,83))})()""></details>",0,1,block,6,"933210,934100,941100,941120,941370,949110","o67,63v217,142t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,142 || v217,142t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,142t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,21v217,142t:urlDecodeUni,t:compressWhitespace || ",25,178032203412.580084
23,"<details open ontoggle=""(function(){const d=top['al'+'ert'];d(top['Stri'+'ng']['fromCh'+'arCode'](88,83,83))})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o61,51v217,124t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,124 || o25,11v217,124t:urlDecodeUni || v217,124t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,124t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,15v217,124t:urlDecodeUni,t:compressWhitespace || ",30,178032203611.350285
26,"<details open ontoggle=""(function(){const c=globalThis.constructor.constructor;c('al'+'ert(1)')()})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o80,21v217,113t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,113 || o25,11v217,113t:urlDecodeUni || v217,113t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,113t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178032204188.325293
27,"<details open ontoggle=""(function(){const c=self[String.fromCharCode(99,111,110,115,116,114,117,99,116,111,114)][String.fromCharCode(99,111,110,115,116,114,117,99,116,111,114)];c('al'+'ert(1)')()})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o178,21v217,211t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,211 || o25,11v217,211t:urlDecodeUni || v217,211t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,211t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,68v217,211t:urlDecodeUni,t:compressWhitespace || ",30,178032204361.190514
28,"<details open ontoggle=""(function(){const c=window['constru'+'ctor']['constru'+'ctor'];c(unescape('%61%6C%65%72%74%28%31%29'))()})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o88,28v217,144t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,144 || o25,11v217,144t:urlDecodeUni || v217,144t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,144t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,24v217,144t:urlDecodeUni,t:compressWhitespace || ",30,178032204466.153974
29,"<details open ontoggle=""(function(){const c=top['con\u0073tructor']['con\u0073tructor'];c(atob('YWxlcnQoMSk='))()})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,129 || v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,23v217,129t:urlDecodeUni,t:compressWhitespace || ",20,178032204638.549842
