index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
1,"<details open ontoggle=""(function(){const h=self[String[atob('ZnJvbUNoYXJDb2Rl')](97,108,101,114,116)];h(btoa('WFNT').split('').map((c,i)=>String[atob('ZnJvbUNoYXJDb2Rl')](c.charCodeAt(0)^[88,83,83][i])).join(''))})()""></details>",0,1,block,6,"933210,934100,941100,941120,941370,949110","o48,169v217,229t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,229 || v217,229t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,229t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,37v217,229t:urlDecodeUni,t:compressWhitespace || ",25,178048783049.350184
2,"<details open ontoggle=""(function(){const y=globalThis['al'+'ert'];y(btoa('WFNT').split('').map((c,i)=>String['fromCharCode'](c['charCodeAt'](0)^[88,83,83][i]))['join'](''))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o109,68v217,189t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,189 || o25,11v217,189t:urlDecodeUni || v217,189t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,189t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178048783285.087689
5,"<details open ontoggle=""(function(){const x=top['al'+'ert'];x(atob('WFNT').split('').map((c,i)=>String.fromCharCode(c.charCodeAt(0)^[88,83,83][i])).join(''))})()""></details>",0,1,block,6,"934100,934100,941100,941120,941370,949110","o25,11v217,173 || o25,11v217,173t:urlDecodeUni || v217,173t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,173t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,15v217,173t:urlDecodeUni,t:compressWhitespace || ",25,178048783992.695332
9,"<details open ontoggle=""(function(){const g=globalThis;g[atob('YWxlcnQ=')](g[atob('U3RyaW5n')][atob('ZnJvbUNoYXJDb2Rl')](88,83,83))})()""></details>",0,1,block,5,"933210,934100,941100,941120,949110","o74,61v217,147t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,147 || v217,147t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,147t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178048784766.341412
14,"<details open ontoggle=""(function(){const w=parent;w['al'+'ert'](w['String']['fromCo'+'dePoi'+'nt'](0x58,0x53,0x53))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o52,68v217,132t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,132 || o25,11v217,132t:urlDecodeUni || v217,132t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,132t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178048785761.170160
17,"<details open ontoggle=""(function(){const c=self[atob('YWxlcnQ=')];c(self[atob('U3RyaW5n')][atob('ZnJvbUNoYXJDb2Rl')](88,83,83))})()""></details>",0,1,block,6,"933210,934100,941100,941120,941370,949110","o68,64v217,144t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,144 || v217,144t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,144t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,22v217,144t:urlDecodeUni,t:compressWhitespace || ",25,178048786357.460717
21,"<details open ontoggle=""(function(){const d=self['al'+'ert'];d(self['Stri'+'ng']['fromCh'+'arCode'](88,83,83))})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o62,52v217,126t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,126 || o25,11v217,126t:urlDecodeUni || v217,126t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,126t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,16v217,126t:urlDecodeUni,t:compressWhitespace || ",30,178048787199.460091
22,"<details open ontoggle=""(function(){const x=top[String.fromCharCode(97,108,101,114,116)];x(top[String.fromCharCode(83,116,114,105,110,103)][String.fromCharCode(102,114,111,109,67,104,97,114,67,111,100,101)](88,83,83))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,233 || v217,233t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,233t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,44v217,233t:urlDecodeUni,t:compressWhitespace || ",20,178048787318.834752
24,"<details open ontoggle=""(function(){const c=document.defaultView['ale'+'rt'],s=document.defaultView['Strin'+'g']['from'+'CharCode'];c(s(88,83,83))})()""></details>",0,1,block,5,"934100,934100,941100,941120,949110","o25,11v217,162 || o25,11v217,162t:urlDecodeUni || v217,162t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,162t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,17804878773.285792
26,"<details open ontoggle=""(function(){return(window.constructor.constructor)('al'+'ert(1)')()})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o24,71v217,107t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,107 || o25,11v217,107t:urlDecodeUni || v217,107t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,107t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178048788127.300288
