rule_count_threshold,total,pw_triggered,crs_bypassed,ml_bypassed,all_bypassed,pw_trigger_rate,crs_bypass_rate,ml_bypass_rate,pw_crs_ml_bypass_rate
1,3914,3420,0,2152,0,0.8738,0.0,0.5498,0.0
2,3914,3420,0,2152,0,0.8738,0.0,0.5498,0.0
3,3914,3420,268,2152,131,0.8738,0.0685,0.5498,0.0335
4,3914,3420,1145,2152,479,0.8738,0.2925,0.5498,0.1224
5,3914,3420,2229,2152,919,0.8738,0.5695,0.5498,0.2348
6,3914,3420,3108,2152,1393,0.8738,0.7941,0.5498,0.3559
7,3914,3420,3542,2152,1684,0.8738,0.905,0.5498,0.4303
8,3914,3420,3729,2152,1805,0.8738,0.9527,0.5498,0.4612
9,3914,3420,3841,2152,1863,0.8738,0.9813,0.5498,0.476
10,3914,3420,3898,2152,1889,0.8738,0.9959,0.5498,0.4826
