rule_count_threshold,total,pw_triggered,crs_bypassed,ml_bypassed,all_bypassed,pw_trigger_rate,crs_bypass_rate,ml_bypass_rate,pw_crs_ml_bypass_rate
1,3859,3015,0,1013,0,0.7813,0.0,0.2625,0.0
2,3859,3015,2,1013,0,0.7813,0.0005,0.2625,0.0
3,3859,3015,317,1013,53,0.7813,0.0821,0.2625,0.0137
4,3859,3015,1244,1013,173,0.7813,0.3224,0.2625,0.0448
5,3859,3015,2517,1013,375,0.7813,0.6522,0.2625,0.0972
6,3859,3015,3280,1013,569,0.7813,0.85,0.2625,0.1474
7,3859,3015,3568,1013,704,0.7813,0.9246,0.2625,0.1824
8,3859,3015,3715,1013,758,0.7813,0.9627,0.2625,0.1964
9,3859,3015,3792,1013,774,0.7813,0.9826,0.2625,0.2006
10,3859,3015,3841,1013,790,0.7813,0.9953,0.2625,0.2047
