rule_count_threshold,total,pw_triggered,crs_bypassed,ml_bypassed,all_bypassed,pw_trigger_rate,crs_bypass_rate,ml_bypass_rate,pw_crs_ml_bypass_rate
1,3913,3513,0,2706,0,0.8978,0.0,0.6915,0.0
2,3913,3513,5,2706,1,0.8978,0.0013,0.6915,0.0003
3,3913,3513,270,2706,144,0.8978,0.069,0.6915,0.0368
4,3913,3513,1056,2706,598,0.8978,0.2699,0.6915,0.1528
5,3913,3513,2057,2706,1191,0.8978,0.5257,0.6915,0.3044
6,3913,3513,2932,2706,1732,0.8978,0.7493,0.6915,0.4426
7,3913,3513,3475,2706,2132,0.8978,0.8881,0.6915,0.5449
8,3913,3513,3726,2706,2309,0.8978,0.9522,0.6915,0.5901
9,3913,3513,3823,2706,2378,0.8978,0.977,0.6915,0.6077
10,3913,3513,3892,2706,2418,0.8978,0.9946,0.6915,0.6179
