rule_count_threshold,total,pw_triggered,crs_bypassed,ml_bypassed,all_bypassed,pw_trigger_rate,crs_bypass_rate,ml_bypass_rate,pw_crs_ml_bypass_rate
1,5376,3765,0,2941,0,0.7003,0.0,0.5471,0.0
2,5376,3765,20,2941,0,0.7003,0.0037,0.5471,0.0
3,5376,3765,191,2941,7,0.7003,0.0355,0.5471,0.0013
4,5376,3765,1076,2941,207,0.7003,0.2001,0.5471,0.0385
5,5376,3765,2518,2941,740,0.7003,0.4684,0.5471,0.1376
6,5376,3765,3950,2941,1448,0.7003,0.7347,0.5471,0.2693
7,5376,3765,4906,2941,1976,0.7003,0.9126,0.5471,0.3676
8,5376,3765,5251,2941,2127,0.7003,0.9767,0.5471,0.3956
9,5376,3765,5339,2941,2150,0.7003,0.9931,0.5471,0.3999
10,5376,3765,5364,2941,2150,0.7003,0.9978,0.5471,0.3999
