rule_count_threshold,total,pw_triggered,crs_bypassed,ml_bypassed,all_bypassed,pw_trigger_rate,crs_bypass_rate,ml_bypass_rate,pw_crs_ml_bypass_rate
1,3951,737,0,1018,0,0.1865,0.0,0.2577,0.0
2,3951,737,4,1018,0,0.1865,0.001,0.2577,0.0
3,3951,737,975,1018,238,0.1865,0.2468,0.2577,0.0602
4,3951,737,1807,1018,356,0.1865,0.4574,0.2577,0.0901
5,3951,737,2689,1018,365,0.1865,0.6806,0.2577,0.0924
6,3951,737,3813,1018,366,0.1865,0.9651,0.2577,0.0926
7,3951,737,3921,1018,366,0.1865,0.9924,0.2577,0.0926
8,3951,737,3946,1018,366,0.1865,0.9987,0.2577,0.0926
9,3951,737,3951,1018,366,0.1865,1.0,0.2577,0.0926
10,3951,737,3951,1018,366,0.1865,1.0,0.2577,0.0926
