rule_count_threshold,total,pw_triggered,crs_bypassed,ml_bypassed,all_bypassed,pw_trigger_rate,crs_bypass_rate,ml_bypass_rate,pw_crs_ml_bypass_rate
1,2077,76,0,157,0,0.0366,0.0,0.0756,0.0
2,2077,76,44,157,0,0.0366,0.0212,0.0756,0.0
3,2077,76,610,157,6,0.0366,0.2937,0.0756,0.0029
4,2077,76,1183,157,7,0.0366,0.5696,0.0756,0.0034
5,2077,76,1632,157,7,0.0366,0.7857,0.0756,0.0034
6,2077,76,1857,157,7,0.0366,0.8941,0.0756,0.0034
7,2077,76,1968,157,8,0.0366,0.9475,0.0756,0.0039
8,2077,76,2037,157,8,0.0366,0.9807,0.0756,0.0039
9,2077,76,2067,157,9,0.0366,0.9952,0.0756,0.0043
10,2077,76,2074,157,9,0.0366,0.9986,0.0756,0.0043
