rule_count_threshold,total,pw_triggered,crs_bypassed,ml_bypassed,all_bypassed,pw_trigger_rate,crs_bypass_rate,ml_bypass_rate,pw_crs_ml_bypass_rate
1,3957,582,0,611,0,0.1471,0.0,0.1544,0.0
2,3957,582,1,611,0,0.1471,0.0003,0.1544,0.0
3,3957,582,866,611,24,0.1471,0.2189,0.1544,0.0061
4,3957,582,1947,611,59,0.1471,0.492,0.1544,0.0149
5,3957,582,2915,611,62,0.1471,0.7367,0.1544,0.0157
6,3957,582,3698,611,69,0.1471,0.9345,0.1544,0.0174
7,3957,582,3832,611,71,0.1471,0.9684,0.1544,0.0179
8,3957,582,3947,611,71,0.1471,0.9975,0.1544,0.0179
9,3957,582,3956,611,71,0.1471,0.9997,0.1544,0.0179
10,3957,582,3957,611,71,0.1471,1.0,0.1544,0.0179
